what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494023401
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494024998
activated,editor,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1325494027220
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1325494028030
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494032030
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494181700
activated,view,com.adobe.flexbuilder.as.editor,4.0.1.277662,"com.adobe.flexbuilder.packageexplorer",1325494184543
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494193766
error,log,,,"Could not tokenize MXML and convert file",1325494223600
error,log,,,"Could not tokenize MXML and convert file",1325494225118
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1325494247060
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1325494247062
started,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.3.0.200912170948-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1325494247068
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494284161
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.rename",1325494284178
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494291228
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494292768
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494293046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494293066
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494300099
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494300934
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494301269
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494301288
started,bundle,com.adobe.flexide.externaleditors,4.0.1.277662,"com.adobe.flexide.externaleditors",1325494304900
started,bundle,com.adobe.flexide.designitems,4.0.1.277662,"com.adobe.flexide.designitems",1325494306896
started,bundle,com.adobe.flexbuilder.designview,4.0.1.277662,"com.adobe.flexbuilder.designview",1325494306920
opened,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1325494307167
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1325494307282
executed,command,com.adobe.flexbuilder.editorcore,4.0.1.277662,"com.adobe.flexide.editorcore.toggle.comment",1325494332061
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1325494332845
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1325494333702
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1325494336843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1325494341424
executed,command,com.adobe.flexbuilder.editorcore,4.0.1.277662,"com.adobe.flexide.editorcore.add.comment",1325494343610
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1325494347273
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.saveAll",1325494350595
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494359272
opened,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1325494367421
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1325494367435
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494367576
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494367610
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494385415
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494398136
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1325494398188
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494398223
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1325494403484
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325494413806
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325494415016
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1325494415273
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.1.277662,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1325494417098
